"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"out/22";"set/22";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"Competência";"Data de atualização"
"AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA (413330)";"Médico Hospitalar";"Médio";"85";"100";"   2,33";"   1,95";"   1,17";"   0,39";"0,00";"   1,17";"    2,34";"    2,34";"   1,95";"   2,34";"   2,73";"   3,53";"202210";"15/11/2022 05:40:45"
"AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA (394734)";"Médico Hospitalar";"Médio";"10";"7";"  27,91";"  33,22";"  32,16";"  29,75";"  28,54";"  35,45";"   36,30";"   35,90";"  26,09";"  22,65";"  22,74";"  24,91";"202210";"15/11/2022 05:40:45"
"AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A. (321338)";"Médico Hospitalar";"Médio";"5";"13";"  45,01";"  50,61";"  35,84";"  28,52";"  22,51";"  26,29";"   27,93";"   26,98";"  23,98";"  21,68";"  24,78";"  28,92";"202210";"15/11/2022 05:40:45"
"AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ (401081)";"Médico Hospitalar";"Médio";"59";"56";"   4,75";"   5,41";"   4,79";"   5,49";"   5,27";"   6,76";"    6,74";"    8,85";"   7,94";"   6,78";"   5,75";"   9,94";"202210";"15/11/2022 05:40:45"
"AMHA SAUDE S/A (418587)";"Médico Hospitalar";"Pequeno";"62";"51";"   5,69";"  10,31";"   8,10";"   6,49";"   2,64";"   1,70";"    1,54";"    1,88";"   2,13";"   1,87";"   1,42";"   1,89";"202210";"15/11/2022 05:40:45"
"AMHE MED ASSISTENCIA A SAUDE LTDA - EPP (421731)";"Médico Hospitalar";"Pequeno";"48";"47";"   9,36";"  11,35";"   8,89";"   7,17";"   7,28";"  10,05";"    7,85";"    6,54";"   8,51";"   7,13";"   9,41";"   9,88";"202210";"15/11/2022 05:40:45"
"AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A. (326305)";"Médico Hospitalar";"Grande";"22";"21";"   7,77";"   9,57";"   9,59";"   9,73";"  10,27";"  11,46";"   11,89";"   12,94";"  12,75";"  13,77";"  14,10";"  14,78";"202210";"15/11/2022 05:40:45"
"AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA (325465)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"   1,15";"   1,14";"    1,13";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"AMPLA PLANOS DE SAUDE  LTDA (422720)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ANGELI SISTEMAS DE SAUDE S.A. (421871)";"Médico Hospitalar";"Pequeno";"39";"27";"  14,42";"  26,46";"0,00";"";"";"";"";"";"";"";"";"";"202210";"15/11/2022 05:40:45"
"A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA (406708)";"Médico Hospitalar";"Pequeno";"64";"36";"   5,55";"  16,62";"  38,74";"  88,48";" 187,83";" 838,85";" 1491,32";" 1011,51";" 435,84";" 114,03";"   4,37";"   5,21";"202210";"15/11/2022 05:40:45"
"ARCELORMITTAL BRASIL S/A (416070)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA (325236)";"Médico Hospitalar";"Médio";"43";"40";"   6,98";"   8,11";"   7,05";"   6,62";"   6,75";"   8,38";"    7,01";"    5,91";"   4,44";"   6,14";"   9,48";"  10,89";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554)";"Médico Hospitalar";"Pequeno";"169";"152";"   0,65";"   1,31";"   1,98";"   2,64";"   2,63";"   3,93";"    5,22";"    5,86";"   3,25";"   1,95";"   2,60";"   3,89";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE (411752)";"Médico Hospitalar";"Médio";"29";"22";"   9,78";"  11,52";"   9,18";"   8,73";"   9,77";"  11,43";"   10,44";"   12,21";"   9,28";"  11,86";"  14,28";"  18,70";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO AUXILIADORA DAS CLASSES LABORIOSAS (340146)";"Médico Hospitalar";"Pequeno";"36";"32";"  16,29";"  18,91";"  14,93";"  16,79";"  12,18";"  21,52";"   17,88";"   26,19";"  21,69";"  28,26";"  25,47";"  35,81";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO BENEFICENTE CATÓLICA (322326)";"Médico Hospitalar";"Médio";"199";"198";"   0,27";"   0,26";"   0,26";"   0,26";"   0,26";"   0,51";"    0,25";"    0,25";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15) (304131)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI (382540)";"Médico Hospitalar";"Grande";"90";"91";"   0,15";"   0,22";"   0,15";"   0,11";"0,00";"   0,04";"    0,11";"    0,11";"   0,23";"   0,23";"   0,38";"   0,34";"202210";"15/11/2022 05:40:45"
"ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947)";"Médico Hospitalar";"Médio";"72";"77";"   3,24";"   3,06";"   3,12";"   3,93";"   3,76";"   3,34";"    2,62";"    1,60";"   1,09";"   2,78";"   4,52";"   6,02";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568)";"Médico Hospitalar";"Médio";"195";"204";"   0,28";"0,00";"   0,14";"   0,14";"   0,28";"   0,28";"    0,28";"    0,14";"   0,14";"   0,14";"   0,14";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ (417955)";"Médico Hospitalar";"Pequeno";"114";"122";"   2,08";"   2,09";"0,00";"0,00";"0,00";"0,00";"    2,10";"    2,10";"   2,10";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO (314218)";"Médico Hospitalar";"Grande";"2";"2";"  21,39";"  23,22";"  22,44";"  20,65";"  18,92";"  19,30";"   16,37";"   17,54";"  15,13";"  15,95";"  16,39";"  16,79";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DE SAÚDE DO VALE (422321)";"Médico Hospitalar";"Pequeno";"79";"95";"   3,57";"   3,67";"   0,94";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,68";"   2,11";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO (418731)";"Médico Hospitalar";"Pequeno";"177";"173";"0,00";"   0,93";"   0,93";"   0,94";"   0,94";"   0,94";"    0,95";"    0,94";"   0,94";"   0,93";"   0,93";"   0,92";"202210";"15/11/2022 05:40:45"
"ASSOCIACAO DE SAUDE HOLAMBRA (360783)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA (417530)";"Médico Hospitalar";"Médio";"9";"8";"  28,79";"  31,16";"  25,90";"  26,80";"  30,19";"  31,19";"   25,73";"   16,73";"   9,85";"   8,44";"   7,01";"   7,14";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533)";"Médico Hospitalar";"Pequeno";"89";"103";"   3,20";"   3,20";"   3,19";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,15";"   3,15";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL (420000)";"Médico Hospitalar";"Pequeno";"65";"77";"   5,51";"   4,76";"   4,78";"   3,20";"   4,08";"   5,85";"    7,69";"    7,75";"   4,35";"   3,51";"   1,76";"   5,27";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO- AFRESP (317632)";"Médico Hospitalar";"Pequeno";"99";"114";"   2,55";"   2,54";"   2,54";"   1,01";"   1,52";"   3,03";"    4,03";"    3,02";"   1,01";"   1,00";"   1,50";"   2,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP (330281)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   5,80";"   8,69";"  11,58";"    8,67";"    8,65";"   5,76";"  11,51";"  17,28";"  20,15";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS (306754)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"   1,51";"   1,50";"    1,50";"0,00";"0,00";"0,00";"0,00";"   3,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM (388092)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599)";"Médico Hospitalar";"Médio";"201";"170";"   0,25";"   0,50";"   0,25";"   0,50";"   0,25";"   0,99";"    0,99";"    1,23";"   0,73";"   0,73";"   0,73";"   1,21";"202210";"15/11/2022 05:40:45"
"ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129)";"Médico Hospitalar";"Pequeno";"72";"79";"   4,71";"   4,70";"  14,00";"  18,46";"  22,63";"  13,36";"    4,40";"    4,40";"   4,39";"   4,39";"0,00";"   4,39";"202210";"15/11/2022 05:40:45"
"ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"   1,62";"   1,62";"   1,61";"   1,61";"    1,61";"    3,21";"   3,20";"   3,20";"   1,59";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO (309028)";"Médico Hospitalar";"Médio";"172";"174";"   0,48";"   0,48";"   0,48";"   0,49";"   0,49";"   0,49";"    0,49";"    0,49";"   0,49";"   0,49";"   0,98";"   0,98";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ (419591)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556)";"Médico Hospitalar";"Médio";"173";"165";"   0,48";"   0,64";"   0,80";"   0,48";"   0,48";"   0,48";"    0,81";"    1,13";"   1,93";"   1,93";"   1,77";"   0,97";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA (326755)";"Médico Hospitalar";"Médio";"103";"75";"   1,80";"   3,21";"   4,02";"   4,23";"   3,23";"   2,23";"    2,46";"    2,72";"   2,56";"   2,37";"   2,39";"   2,39";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO FCA SAÚDE (422053)";"Médico Hospitalar";"Médio";"190";"195";"   0,32";"   0,32";"   0,64";"   0,64";"   1,94";"   2,26";"    1,94";"    0,65";"   0,65";"   0,66";"   1,33";"   2,01";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584)";"Médico Hospitalar";"Médio";"211";"204";"0,00";"0,00";"   0,45";"   0,45";"   0,45";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,46";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO (402206)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL (421618)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150)";"Médico Hospitalar";"Pequeno";"71";"105";"   4,74";"   3,14";"   1,57";"0,00";"0,00";"0,00";"    0,77";"    1,53";"   1,53";"   0,76";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO (417211)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO PADRE ALBINO SAÚDE (420158)";"Médico Hospitalar";"Médio";"175";"177";"   0,46";"   0,46";"0,00";"   0,95";"   0,95";"   0,96";"0,00";"0,00";"   0,97";"   1,93";"   2,42";"   1,94";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE (420816)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS (422631)";"Médico Hospitalar";"Grande";"32";"33";"   6,56";"   7,21";"   6,49";"   7,08";"   7,15";"   8,62";"    8,12";"    8,47";"   8,08";"   8,98";"   9,41";"  10,23";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO PLAME DE SAÚDE (419974)";"Médico Hospitalar";"Pequeno";"177";"64";"0,00";"   7,14";"   7,08";"   6,93";"   6,80";"  13,30";"   13,10";"    6,49";"0,00";"0,00";"0,00";"   6,20";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS (419958)";"Médico Hospitalar";"Pequeno";"145";"159";"   1,10";"   1,11";"   1,13";"   1,16";"   1,18";"0,00";"    1,20";"    3,62";"   3,64";"   2,44";"   1,23";"   1,23";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA (409405)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110)";"Médico Hospitalar";"Pequeno";"106";"83";"   2,26";"   4,50";"   5,60";"   4,46";"   2,22";"   1,11";"    1,10";"    1,10";"0,00";"   1,10";"   1,09";"   2,18";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS) (414212)";"Médico Hospitalar";"Pequeno";"98";"113";"   2,59";"   2,58";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,55";"   2,54";"   2,54";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU (406945)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU (408093)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA (406635)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ (408034)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   4,19";"   4,18";"   4,17";"    2,08";"    2,07";"   2,06";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"   5,78";"   5,75";"    5,71";"    5,66";"   5,61";"   5,57";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406813)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406937)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   1,74";"   1,74";"   1,73";"0,00";"0,00";"0,00";"   1,71";"   1,70";"   1,69";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (410128)";"Médico Hospitalar";"Pequeno";"73";"80";"   4,70";"   4,60";"   1,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,45";"   1,44";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI (420786)";"Médico Hospitalar";"Pequeno";"159";"177";"   0,80";"   0,81";"0,00";"0,00";"0,00";"   1,64";"    1,65";"    1,65";"0,00";"0,00";"0,00";"   0,83";"202210";"15/11/2022 05:40:45"
